company,ticker,error
meta platforms inc,,No data returned
taiwan semiconductor manufacturing co ltd,,No data returned
eli lilly & co,,No data returned
jpmorgan chase & co,,No data returned
novo nordisk a/s,,No data returned
tencent holdings ltd,,No data returned
johnson & johnson,,No data returned
samsung electronics co ltd,,No data returned
digital realty trust inc,,No data returned
salesforce inc,,No data returned
nextera energy inc,,No data returned
merck & co inc,,No data returned
wells fargo & co,,No data returned
cisco systems inc,,No data returned
advanced micro devices inc,,No data returned
servicenow inc,,No data returned
intuitive surgical inc,,No data returned
blackrock inc,,No data returned
sanofi sa,,No data returned
caterpillar inc,,No data returned
mitsubishi ufj financial group inc,,No data returned
simon property group inc,,No data returned
progressive corp/the,,No data returned
at&t inc,,No data returned
dsv a/s,,No data returned
t-mobile us inc,,No data returned
analog devices inc,,No data returned
gilead sciences inc,,No data returned
sk hynix inc,,No data returned
recruit holdings co ltd,,No data returned
palantir technologies inc,,No data returned
alexandria real estate equities inc,,No data returned
sumitomo mitsui financial group inc,,No data returned
goldman sachs group inc/the,,No data returned
applied materials inc,,No data returned
avalonbay communities inc,,No data returned
eaton corp plc,,No data returned
tokio marine holdings inc,,No data returned
holcim ag,,No data returned
icici bank ltd,,No data returned
micron technology inc,,No data returned
fiserv inc,,No data returned
kkr & co inc,,No data returned
arthur j gallagher & co,,No data returned
apollo global management inc,,No data returned
arista networks inc,,No data returned
sherwin-williams co/the,,No data returned
pnc financial services group inc/the,,No data returned
udr inc,,No data returned
charles schwab corp/the,,No data returned
sompo holdings inc,,No data returned
deere & co,,No data returned
marsh & mclennan cos inc,,No data returned
cadence design systems inc,,No data returned
mizuho financial group inc,,No data returned
elevance health inc,,No data returned
mediatek inc,,No data returned
intercontinental exchange inc,,No data returned
bharti airtel ltd,,No data returned
anz group holdings ltd,,No data returned
chubb ltd,,No data returned
bank of new york mellon corp/the,,No data returned
marvell technology inc,,No data returned
crowdstrike holdings inc,,No data returned
ge vernova inc,,No data returned
paypal holdings inc,,No data returned
motorola solutions inc,,No data returned
united parcel service inc,,No data returned
equinix inc,,No data returned
hon hai precision industry co ltd,,No data returned
mitsui & co ltd,,No data returned
charter communications inc,,No data returned
infosys ltd,,No data returned
muenchener rueckversicherungs-gesellschaft ag in muenchen,,No data returned
waste management inc,,No data returned
toronto-dominion bank/the,,No data returned
moody's corp,,No data returned
palo alto networks inc,,No data returned
blackstone inc,,No data returned
bxp inc,,No data returned
roper technologies inc,,No data returned
prologis inc,,No data returned
national australia bank ltd,,No data returned
canadian pacific kansas city ltd,,No data returned
sun communities inc,,No data returned
hong kong exchanges & clearing ltd,,No data returned
constellation software inc/canada,,No data returned
cigna group/the,,No data returned
e.on se,,No data returned
mitsubishi heavy industries ltd,,No data returned
daiichi sankyo co ltd,,No data returned
southern co/the,,No data returned
hca healthcare inc,,No data returned
mid-america apartment communities inc,,No data returned
teva pharmaceutical industries ltd,,No data returned
host hotels & resorts inc,,No data returned
regeneron pharmaceuticals inc,,No data returned
takeda pharmaceutical co ltd,,No data returned
us bancorp,,No data returned
zoom communications inc,,No data returned
becton dickinson & co,,No data returned
metlife inc,,No data returned
united rentals inc,,No data returned
fortinet inc,,No data returned
american international group inc,,No data returned
orsted as,,No data returned
cie de saint-gobain sa,,No data returned
bank central asia tbk pt,,No data returned
industrial & commercial bank of china ltd,,No data returned
ametek inc,,No data returned
novonesis (novozymes) b,,No data returned
lineage inc,,No data returned
waste connections inc,,No data returned
ameriprise financial inc,,No data returned
bank of nova scotia/the,,No data returned
danske bank a/s,,No data returned
equitable holdings inc,,No data returned
china merchants bank co ltd,,No data returned
nxp semiconductors nv,,No data returned
autodesk inc,,No data returned
workday inc,,No data returned
fidelity national information services inc,,No data returned
ansys inc,,No data returned
axis bank ltd,,No data returned
block inc,,No data returned
doordash inc,,No data returned
pg&e corp,,No data returned
oversea-chinese banking corp ltd,,No data returned
alnylam pharmaceuticals inc,,No data returned
synopsys inc,,No data returned
contemporary amperex technology co ltd,,No data returned
nippon telegraph & telephone corp,,No data returned
travelers cos inc/the,,No data returned
republic services inc,,No data returned
quanta services inc,,No data returned
sun pharmaceutical industries ltd,,No data returned
murata manufacturing co ltd,,No data returned
coinbase global inc,,No data returned
tyler technologies inc,,No data returned
ww grainger inc,,No data returned
verisk analytics inc,,No data returned
cbre group inc,,No data returned
monolithic power systems inc,,No data returned
old dominion freight line inc,,No data returned
datadog inc,,No data returned
everest group ltd,,No data returned
axon enterprise inc,,No data returned
ge healthcare technologies inc,,No data returned
americold realty trust inc,,No data returned
willis towers watson plc,,No data returned
akamai technologies inc,,No data returned
full truck alliance co ltd,,No data returned
essex property trust inc,,No data returned
ppg industries inc,,No data returned
dominion energy inc,,No data returned
ping an insurance group co of china ltd,,No data returned
kotak mahindra bank ltd,,No data returned
dai-ichi life holdings inc,,No data returned
gartner inc,,No data returned
nu holdings ltd/cayman islands,,No data returned
