company_name,ticker,country,meeting_date,meeting_id,meeting_type,proposal_number,proposal_text,proponent,management_rec,nbim_vote,position_paper,rationale_text
acerinox sa,ACX,Spain,2020-10-21 00:00:00,1471725,Annual,9,"Authorize Issuance of Convertible Bonds, Debentures, Warrants, and Other Debt Securities without Preemptive Rights up to EUR 3 Billion",Management,For,Against,Position paper: Shareholder rights in equity issuances,Existing shareholders should have the right to approve share issuances in order to prevent the dilution of ownership without their prior consent. Existing shareholders should have the right to participate pro rata to maintain their voting share and benefit from any discount offered. The approval for a general authority should be reasonably close in time to the intended capital allocation to allow for an informed voting decision.
air liquide sa,AI,France,2021-05-04 00:00:00,1504230,Annual/Special,8,Elect Bertrand Dumazy as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.
albemarle corp,ALB,United States,2025-05-06 00:00:00,1946039,Annual,1c,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest."
albemarle corp,ALB,United States,2025-05-06 00:00:00,1946039,Annual,4,Adopt Simple Majority Vote,Shareholder,Against,For,,"Anti-takeover measures are generally not in the interest of shareholders, and the introduction of such measures should, at a minimum, be subject to shareholder approval. We define anti-takeover measures to include any mechanism likely to deter or frustrate takeovers."
albemarle corp,ALB,United States,2024-05-07 00:00:00,1839554,Annual,1c,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest."
albemarle corp,ALB,United States,2023-05-02 00:00:00,1731619,Annual,1c,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest."
albemarle corp,ALB,United States,2022-05-03 00:00:00,1623793,Annual,2c,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest."
albemarle corp,ALB,United States,2021-05-04 00:00:00,1520712,Annual,2b,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest."
albemarle corp,ALB,United States,2020-05-05 00:00:00,1411329,Annual,2c,Elect Director J. Kent Masters,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest."
alcoa corp,AA,United States,2024-05-10 00:00:00,1836760,Annual,4,Report on Lobbying Payments and Policy,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation."
alcoa corp,AA,United States,2021-05-06 00:00:00,1519377,Annual,4,Provide Right to Act by Written Consent,Shareholder,Against,For,,"Shareholders should in certain circumstances have the opportunity to raise issues of material importance without having to wait for management to schedule a meeting. All proposals subject to shareholder approval should be presented as individual items, and the vote tally should be published."
alcoa corp,AA,United States,2020-05-06 00:00:00,1409572,Annual,4,Provide Right to Act by Written Consent,Shareholder,Against,For,,"Shareholders should in certain circumstances have the opportunity to raise issues of material importance without having to wait for management to schedule a meeting. All proposals subject to shareholder approval should be presented as individual items, and the vote tally should be published."
alpek sab de cv,ALPEKA,Mexico,2020-02-27 00:00:00,1394676,Annual,3,Elect Directors and Chairmen of Audit and Corporate Practices Committee; Fix Their Remuneration,Management,For,Against,,
antofagasta plc,ANTO,United Kingdom,2025-05-08 00:00:00,1945778,Annual,8,Re-elect Andronico Luksic as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.
aperam sa,APAM,Luxembourg,2025-05-06 00:00:00,1950475,Annual,VIII,Reelect Lakshmi N. Mittal as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.
aperam sa,APAM,Luxembourg,2022-05-04 00:00:00,1630839,Annual/Special,IX,Elect Lakshmi N. Mittal as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.
arcelormittal sa,MT,Luxembourg,2024-04-30 00:00:00,1841853,Annual,VII,Approve Discharge of Directors,Management,For,Against,Position paper: Corporate sustainability reporting,"We will not support the re-election of a director, or the entire board, if the company has experienced material failures in the oversight, management or disclosure of social risks."
arcelormittal sa,MT,Luxembourg,2024-04-30 00:00:00,1841853,Annual,VIII,Reelect Karyn Ovelmen as Director,Management,For,Against,Position paper: Corporate sustainability reporting,"We will not support the re-election of a director, or the entire board, if the company has experienced material failures in the oversight, management or disclosure of social risks."
